scrape_time,date,site_id,venue_name,time_range,booked,total,status,remark,condition,temperature,feels_like,wind_scale,precip,humidity,aqi
2026-05-11 04:00:43,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,阴,19,19,3,0.0,87,42
2026-05-11 04:30:37,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,阴,19,18,3,0.0,86,41
2026-05-11 05:00:40,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,阴,19,19,3,0.0,91,41
2026-05-11 05:30:35,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,阴,18,19,2,0.0,92,44
2026-05-11 06:00:39,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,阴,18,18,2,0.0,91,44
2026-05-11 06:30:40,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,阴,18,16,3,0.0,88,43
2026-05-11 07:00:40,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,阴,18,16,4,0.0,89,43
2026-05-11 07:30:32,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,阴,18,16,4,0.0,87,47
2026-05-11 07:50:31,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,小雨,18,16,4,0.0,87,47
2026-05-11 07:53:27,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,小雨,18,16,4,0.0,86,47
2026-05-11 08:00:46,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,小雨,18,16,4,0.0,85,47
2026-05-11 08:02:30,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,小雨,18,16,4,0.0,85,47
2026-05-11 08:05:27,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,小雨,18,16,4,0.0,84,47
2026-05-11 08:08:29,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,小雨,18,16,4,0.0,84,47
2026-05-11 08:11:24,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,小雨,18,16,4,0.0,84,47
2026-05-11 08:14:28,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,小雨,18,16,4,0.0,84,47
2026-05-11 08:17:29,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,小雨,18,16,4,0.0,84,47
2026-05-11 08:20:35,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,小雨,18,17,3,0.0,84,47
2026-05-11 08:25:25,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,小雨,18,17,3,0.0,84,51
2026-05-11 08:30:41,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,小雨,18,16,3,0.0,81,51
2026-05-11 08:35:29,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,小雨,18,16,3,0.0,81,51
2026-05-11 08:40:29,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,小雨,18,16,3,0.0,80,51
2026-05-11 08:45:38,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,小雨,18,16,3,0.0,79,51
2026-05-11 08:50:31,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,小雨,18,16,3,0.0,79,51
2026-05-11 08:55:29,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,小雨,18,16,3,0.0,78,51
2026-05-11 09:00:41,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,小雨,18,16,3,0.0,78,51
2026-05-11 09:01:51,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,小雨,18,16,3,0.0,78,51
2026-05-11 09:05:33,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,阴,18,16,3,0.0,75,51
2026-05-11 09:10:34,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,阴,18,16,3,0.0,75,51
2026-05-11 09:20:31,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,阴,18,16,3,0.0,75,51
2026-05-11 09:30:36,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,阴,22,21,3,0.0,68,50
2026-05-11 09:40:33,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,阴,22,21,3,0.0,64,50
2026-05-11 09:50:42,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,阴,22,21,3,0.0,61,50
2026-05-11 10:00:46,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,阴,22,21,3,0.0,60,50
2026-05-11 10:10:36,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,阴,22,21,3,0.0,58,50
2026-05-11 10:20:38,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,阴,22,21,3,0.0,58,50
2026-05-11 10:30:37,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,阴,25,25,3,0.0,54,40
2026-05-11 11:00:44,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,多云,25,22,4,0.0,45,40
2026-05-11 11:30:44,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,多云,28,26,3,0.0,42,40
2026-05-11 12:00:40,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,多云,28,25,4,0.0,37,40
2026-05-11 12:30:34,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,阴,28,25,4,0.0,35,44
2026-05-11 13:00:39,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,阴,28,26,4,0.0,40,44
2026-05-11 13:30:42,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,阴,28,27,3,0.0,44,45
2026-05-11 14:00:41,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,阴,28,27,3,0.0,45,45
2026-05-11 14:30:41,2026-05-11,2,乒乓球厅-2号,16:00-17:00,0,1,可预约,￥5.0,阴,28,28,3,0.0,46,51
2026-05-11 00:30:35,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,晴,21,20,3,0.0,69,48
2026-05-11 01:00:44,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,晴,21,19,4,0.0,72,48
2026-05-11 01:30:36,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,晴,20,19,3,0.0,75,47
2026-05-11 02:00:45,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,晴,20,19,3,0.0,78,47
2026-05-11 02:30:35,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,晴,20,19,3,0.0,78,45
2026-05-11 03:00:41,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,多云,19,17,3,0.0,84,45
2026-05-11 03:30:39,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,阴,19,19,3,0.0,86,42
2026-05-11 04:00:43,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,阴,19,19,3,0.0,87,42
2026-05-11 04:30:37,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,阴,19,18,3,0.0,86,41
2026-05-11 05:00:40,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,阴,19,19,3,0.0,91,41
2026-05-11 05:30:35,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,阴,18,19,2,0.0,92,44
2026-05-11 06:00:39,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,阴,18,18,2,0.0,91,44
2026-05-11 06:30:40,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,阴,18,16,3,0.0,88,43
2026-05-11 07:00:40,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,阴,18,16,4,0.0,89,43
2026-05-11 07:30:32,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,阴,18,16,4,0.0,87,47
2026-05-11 07:50:31,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,小雨,18,16,4,0.0,87,47
2026-05-11 07:53:27,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,小雨,18,16,4,0.0,86,47
2026-05-11 08:00:46,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,小雨,18,16,4,0.0,85,47
2026-05-11 08:02:30,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,小雨,18,16,4,0.0,85,47
2026-05-11 08:05:27,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,小雨,18,16,4,0.0,84,47
2026-05-11 08:08:29,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,小雨,18,16,4,0.0,84,47
2026-05-11 08:11:24,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,小雨,18,16,4,0.0,84,47
2026-05-11 08:14:28,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,小雨,18,16,4,0.0,84,47
2026-05-11 08:17:29,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,小雨,18,16,4,0.0,84,47
2026-05-11 08:20:35,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,小雨,18,17,3,0.0,84,47
2026-05-11 08:25:25,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,小雨,18,17,3,0.0,84,51
2026-05-11 08:30:41,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,小雨,18,16,3,0.0,81,51
2026-05-11 08:35:29,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,小雨,18,16,3,0.0,81,51
2026-05-11 08:40:29,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,小雨,18,16,3,0.0,80,51
2026-05-11 08:45:38,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,小雨,18,16,3,0.0,79,51
2026-05-11 08:50:31,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,小雨,18,16,3,0.0,79,51
2026-05-11 08:55:29,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,小雨,18,16,3,0.0,78,51
2026-05-11 09:00:41,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,小雨,18,16,3,0.0,78,51
2026-05-11 09:01:51,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,小雨,18,16,3,0.0,78,51
2026-05-11 09:05:33,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,阴,18,16,3,0.0,75,51
2026-05-11 09:10:34,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,阴,18,16,3,0.0,75,51
2026-05-11 09:20:31,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,阴,18,16,3,0.0,75,51
2026-05-11 09:30:36,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,阴,22,21,3,0.0,68,50
2026-05-11 09:40:33,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,阴,22,21,3,0.0,64,50
2026-05-11 09:50:42,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,阴,22,21,3,0.0,61,50
2026-05-11 10:00:46,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,阴,22,21,3,0.0,60,50
2026-05-11 10:10:36,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,阴,22,21,3,0.0,58,50
2026-05-11 10:20:38,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,阴,22,21,3,0.0,58,50
2026-05-11 10:30:37,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,阴,25,25,3,0.0,54,40
2026-05-11 11:00:44,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,多云,25,22,4,0.0,45,40
2026-05-11 11:30:44,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,多云,28,26,3,0.0,42,40
2026-05-11 12:00:40,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,多云,28,25,4,0.0,37,40
2026-05-11 12:30:34,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,阴,28,25,4,0.0,35,44
2026-05-11 13:00:39,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,阴,28,26,4,0.0,40,44
2026-05-11 13:30:42,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,阴,28,27,3,0.0,44,45
2026-05-11 14:00:41,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,阴,28,27,3,0.0,45,45
2026-05-11 14:30:41,2026-05-11,2,乒乓球厅-2号,17:00-18:00,0,1,可预约,￥5.0,阴,28,28,3,0.0,46,51
2026-05-11 00:30:35,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,晴,21,20,3,0.0,69,48
2026-05-11 01:00:44,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,晴,21,19,4,0.0,72,48
2026-05-11 01:30:36,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,晴,20,19,3,0.0,75,47
2026-05-11 02:00:45,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,晴,20,19,3,0.0,78,47
2026-05-11 02:30:35,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,晴,20,19,3,0.0,78,45
2026-05-11 03:00:41,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,多云,19,17,3,0.0,84,45
2026-05-11 03:30:39,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,阴,19,19,3,0.0,86,42
2026-05-11 04:00:43,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,阴,19,19,3,0.0,87,42
2026-05-11 04:30:37,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,阴,19,18,3,0.0,86,41
2026-05-11 05:00:40,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,阴,19,19,3,0.0,91,41
2026-05-11 05:30:35,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,阴,18,19,2,0.0,92,44
2026-05-11 06:00:39,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,阴,18,18,2,0.0,91,44
2026-05-11 06:30:40,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,阴,18,16,3,0.0,88,43
2026-05-11 07:00:40,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,阴,18,16,4,0.0,89,43
2026-05-11 07:30:32,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,阴,18,16,4,0.0,87,47
2026-05-11 07:50:31,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,小雨,18,16,4,0.0,87,47
2026-05-11 07:53:27,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,小雨,18,16,4,0.0,86,47
2026-05-11 08:00:46,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,小雨,18,16,4,0.0,85,47
2026-05-11 08:02:30,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,小雨,18,16,4,0.0,85,47
2026-05-11 08:05:27,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,小雨,18,16,4,0.0,84,47
2026-05-11 08:08:29,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,小雨,18,16,4,0.0,84,47
2026-05-11 08:11:24,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,小雨,18,16,4,0.0,84,47
2026-05-11 08:14:28,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,小雨,18,16,4,0.0,84,47
2026-05-11 08:17:29,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,小雨,18,16,4,0.0,84,47
2026-05-11 08:20:35,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,小雨,18,17,3,0.0,84,47
2026-05-11 08:25:25,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,小雨,18,17,3,0.0,84,51
2026-05-11 08:30:41,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,小雨,18,16,3,0.0,81,51
2026-05-11 08:35:29,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,小雨,18,16,3,0.0,81,51
2026-05-11 08:40:29,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,小雨,18,16,3,0.0,80,51
2026-05-11 08:45:38,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,小雨,18,16,3,0.0,79,51
2026-05-11 08:50:31,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,小雨,18,16,3,0.0,79,51
2026-05-11 08:55:29,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,小雨,18,16,3,0.0,78,51
2026-05-11 09:00:41,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,小雨,18,16,3,0.0,78,51
2026-05-11 09:01:51,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,小雨,18,16,3,0.0,78,51
2026-05-11 09:05:33,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,阴,18,16,3,0.0,75,51
2026-05-11 09:10:34,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,阴,18,16,3,0.0,75,51
2026-05-11 09:20:31,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,阴,18,16,3,0.0,75,51
2026-05-11 09:30:36,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,阴,22,21,3,0.0,68,50
2026-05-11 09:40:33,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,阴,22,21,3,0.0,64,50
2026-05-11 09:50:42,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,阴,22,21,3,0.0,61,50
2026-05-11 10:00:46,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,阴,22,21,3,0.0,60,50
2026-05-11 10:10:36,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,阴,22,21,3,0.0,58,50
2026-05-11 10:20:38,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,阴,22,21,3,0.0,58,50
2026-05-11 10:30:37,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,阴,25,25,3,0.0,54,40
2026-05-11 11:00:44,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,多云,25,22,4,0.0,45,40
2026-05-11 11:30:44,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,多云,28,26,3,0.0,42,40
2026-05-11 12:00:40,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,多云,28,25,4,0.0,37,40
2026-05-11 12:30:34,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,阴,28,25,4,0.0,35,44
2026-05-11 13:00:39,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,阴,28,26,4,0.0,40,44
2026-05-11 13:30:42,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,阴,28,27,3,0.0,44,45
2026-05-11 14:00:41,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,阴,28,27,3,0.0,45,45
2026-05-11 14:30:41,2026-05-11,2,乒乓球厅-2号,18:30-19:30,0,1,可预约,￥5.0,阴,28,28,3,0.0,46,51
2026-05-11 00:30:35,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,晴,21,20,3,0.0,69,48
2026-05-11 01:00:44,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,晴,21,19,4,0.0,72,48
2026-05-11 01:30:36,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,晴,20,19,3,0.0,75,47
2026-05-11 02:00:45,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,晴,20,19,3,0.0,78,47
2026-05-11 02:30:35,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,晴,20,19,3,0.0,78,45
2026-05-11 03:00:41,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,多云,19,17,3,0.0,84,45
2026-05-11 03:30:39,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,阴,19,19,3,0.0,86,42
2026-05-11 04:00:43,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,阴,19,19,3,0.0,87,42
2026-05-11 04:30:37,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,阴,19,18,3,0.0,86,41
2026-05-11 05:00:40,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,阴,19,19,3,0.0,91,41
2026-05-11 05:30:35,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,阴,18,19,2,0.0,92,44
2026-05-11 06:00:39,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,阴,18,18,2,0.0,91,44
2026-05-11 06:30:40,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,阴,18,16,3,0.0,88,43
2026-05-11 07:00:40,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,阴,18,16,4,0.0,89,43
2026-05-11 07:30:32,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,阴,18,16,4,0.0,87,47
2026-05-11 07:50:31,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,小雨,18,16,4,0.0,87,47
2026-05-11 07:53:27,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,小雨,18,16,4,0.0,86,47
2026-05-11 08:00:46,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,小雨,18,16,4,0.0,85,47
2026-05-11 08:02:30,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,小雨,18,16,4,0.0,85,47
2026-05-11 08:05:27,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,小雨,18,16,4,0.0,84,47
2026-05-11 08:08:29,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,小雨,18,16,4,0.0,84,47
2026-05-11 08:11:24,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,小雨,18,16,4,0.0,84,47
2026-05-11 08:14:28,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,小雨,18,16,4,0.0,84,47
2026-05-11 08:17:29,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,小雨,18,16,4,0.0,84,47
2026-05-11 08:20:35,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,小雨,18,17,3,0.0,84,47
2026-05-11 08:25:25,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,小雨,18,17,3,0.0,84,51
2026-05-11 08:30:41,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,小雨,18,16,3,0.0,81,51
2026-05-11 08:35:29,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,小雨,18,16,3,0.0,81,51
2026-05-11 08:40:29,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,小雨,18,16,3,0.0,80,51
2026-05-11 08:45:38,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,小雨,18,16,3,0.0,79,51
2026-05-11 08:50:31,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,小雨,18,16,3,0.0,79,51
2026-05-11 08:55:29,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,小雨,18,16,3,0.0,78,51
2026-05-11 09:00:41,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,小雨,18,16,3,0.0,78,51
2026-05-11 09:01:51,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,小雨,18,16,3,0.0,78,51
2026-05-11 09:05:33,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,阴,18,16,3,0.0,75,51
2026-05-11 09:10:34,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,阴,18,16,3,0.0,75,51
2026-05-11 09:20:31,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,阴,18,16,3,0.0,75,51
2026-05-11 09:30:36,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,阴,22,21,3,0.0,68,50
2026-05-11 09:40:33,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,阴,22,21,3,0.0,64,50
2026-05-11 09:50:42,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,阴,22,21,3,0.0,61,50
2026-05-11 10:00:46,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,阴,22,21,3,0.0,60,50
2026-05-11 10:10:36,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,阴,22,21,3,0.0,58,50
2026-05-11 10:20:38,2026-05-11,2,乒乓球厅-2号,19:30-20:30,0,1,可预约,￥5.0,阴,22,21,3,0.0,58,50
