scrape_time,date,site_id,venue_name,time_range,booked,total,status,remark,condition,feels_like,wind_scale,precip,humidity,aqi
2026-05-09 01:00:46,2026-05-09,2,乒乓球厅-15号,15:00-16:00,0,1,可预约,,晴,14,2,0.0,63,38
2026-05-09 01:30:37,2026-05-09,2,乒乓球厅-15号,15:00-16:00,0,1,可预约,,晴,14,2,0.0,63,35
2026-05-09 02:00:48,2026-05-09,2,乒乓球厅-15号,15:00-16:00,0,1,可预约,,晴,15,2,0.0,65,35
2026-05-09 02:30:33,2026-05-09,2,乒乓球厅-15号,15:00-16:00,0,1,可预约,,晴,14,2,0.0,66,31
2026-05-09 03:00:40,2026-05-09,2,乒乓球厅-15号,15:00-16:00,0,1,可预约,,晴,13,2,0.0,65,31
2026-05-09 03:30:41,2026-05-09,2,乒乓球厅-15号,15:00-16:00,0,1,可预约,,晴,14,2,0.0,65,34
2026-05-09 04:00:49,2026-05-09,2,乒乓球厅-15号,15:00-16:00,0,1,可预约,,晴,14,2,0.0,66,34
2026-05-09 04:30:43,2026-05-09,2,乒乓球厅-15号,15:00-16:00,0,1,可预约,,晴,14,2,0.0,65,33
2026-05-09 05:00:47,2026-05-09,2,乒乓球厅-15号,15:00-16:00,0,1,可预约,,晴,14,2,0.0,66,33
2026-05-09 05:30:35,2026-05-09,2,乒乓球厅-15号,15:00-16:00,0,1,可预约,,晴,14,2,0.0,61,34
2026-05-09 06:00:57,2026-05-09,2,乒乓球厅-15号,15:00-16:00,0,1,可预约,,晴,13,2,0.0,54,34
2026-05-09 06:30:41,2026-05-09,2,乒乓球厅-15号,15:00-16:00,0,1,可预约,,晴,14,3,0.0,47,34
2026-05-09 07:00:47,2026-05-09,2,乒乓球厅-15号,15:00-16:00,0,1,可预约,,晴,12,4,0.0,38,34
2026-05-09 07:30:33,2026-05-09,2,乒乓球厅-15号,15:00-16:00,0,1,可预约,,晴,12,5,0.0,34,36
2026-05-09 07:54:56,2026-05-09,2,乒乓球厅-15号,15:00-16:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 07:56:30,2026-05-09,2,乒乓球厅-15号,15:00-16:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 07:59:24,2026-05-09,2,乒乓球厅-15号,15:00-16:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 08:00:49,2026-05-09,2,乒乓球厅-15号,15:00-16:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 08:02:23,2026-05-09,2,乒乓球厅-15号,15:00-16:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 08:09:46,2026-05-09,2,乒乓球厅-15号,15:00-16:00,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 08:11:30,2026-05-09,2,乒乓球厅-15号,15:00-16:00,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 08:14:25,2026-05-09,2,乒乓球厅-15号,15:00-16:00,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 08:17:29,2026-05-09,2,乒乓球厅-15号,15:00-16:00,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 00:30:44,2026-05-09,2,乒乓球厅-15号,16:00-17:00,0,1,可预约,,晴,14,1,0.0,62,38
2026-05-09 01:00:46,2026-05-09,2,乒乓球厅-15号,16:00-17:00,0,1,可预约,,晴,14,2,0.0,63,38
2026-05-09 01:30:37,2026-05-09,2,乒乓球厅-15号,16:00-17:00,0,1,可预约,,晴,14,2,0.0,63,35
2026-05-09 02:00:48,2026-05-09,2,乒乓球厅-15号,16:00-17:00,0,1,可预约,,晴,15,2,0.0,65,35
2026-05-09 02:30:33,2026-05-09,2,乒乓球厅-15号,16:00-17:00,0,1,可预约,,晴,14,2,0.0,66,31
2026-05-09 03:00:40,2026-05-09,2,乒乓球厅-15号,16:00-17:00,0,1,可预约,,晴,13,2,0.0,65,31
2026-05-09 03:30:41,2026-05-09,2,乒乓球厅-15号,16:00-17:00,0,1,可预约,,晴,14,2,0.0,65,34
2026-05-09 04:00:49,2026-05-09,2,乒乓球厅-15号,16:00-17:00,0,1,可预约,,晴,14,2,0.0,66,34
2026-05-09 04:30:43,2026-05-09,2,乒乓球厅-15号,16:00-17:00,0,1,可预约,,晴,14,2,0.0,65,33
2026-05-09 05:00:47,2026-05-09,2,乒乓球厅-15号,16:00-17:00,0,1,可预约,,晴,14,2,0.0,66,33
2026-05-09 05:30:35,2026-05-09,2,乒乓球厅-15号,16:00-17:00,0,1,可预约,,晴,14,2,0.0,61,34
2026-05-09 06:00:57,2026-05-09,2,乒乓球厅-15号,16:00-17:00,0,1,可预约,,晴,13,2,0.0,54,34
2026-05-09 06:30:41,2026-05-09,2,乒乓球厅-15号,16:00-17:00,0,1,可预约,,晴,14,3,0.0,47,34
2026-05-09 07:00:47,2026-05-09,2,乒乓球厅-15号,16:00-17:00,0,1,可预约,,晴,12,4,0.0,38,34
2026-05-09 07:30:33,2026-05-09,2,乒乓球厅-15号,16:00-17:00,0,1,可预约,,晴,12,5,0.0,34,36
2026-05-09 07:54:56,2026-05-09,2,乒乓球厅-15号,16:00-17:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 07:56:30,2026-05-09,2,乒乓球厅-15号,16:00-17:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 07:59:24,2026-05-09,2,乒乓球厅-15号,16:00-17:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 08:00:49,2026-05-09,2,乒乓球厅-15号,16:00-17:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 08:02:23,2026-05-09,2,乒乓球厅-15号,16:00-17:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 08:09:46,2026-05-09,2,乒乓球厅-15号,16:00-17:00,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 08:11:30,2026-05-09,2,乒乓球厅-15号,16:00-17:00,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 08:14:25,2026-05-09,2,乒乓球厅-15号,16:00-17:00,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 08:17:29,2026-05-09,2,乒乓球厅-15号,16:00-17:00,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 00:30:44,2026-05-09,2,乒乓球厅-15号,17:00-18:00,0,1,可预约,,晴,14,1,0.0,62,38
2026-05-09 01:00:46,2026-05-09,2,乒乓球厅-15号,17:00-18:00,0,1,可预约,,晴,14,2,0.0,63,38
2026-05-09 01:30:37,2026-05-09,2,乒乓球厅-15号,17:00-18:00,0,1,可预约,,晴,14,2,0.0,63,35
2026-05-09 02:00:48,2026-05-09,2,乒乓球厅-15号,17:00-18:00,0,1,可预约,,晴,15,2,0.0,65,35
2026-05-09 02:30:33,2026-05-09,2,乒乓球厅-15号,17:00-18:00,0,1,可预约,,晴,14,2,0.0,66,31
2026-05-09 03:00:40,2026-05-09,2,乒乓球厅-15号,17:00-18:00,0,1,可预约,,晴,13,2,0.0,65,31
2026-05-09 03:30:41,2026-05-09,2,乒乓球厅-15号,17:00-18:00,0,1,可预约,,晴,14,2,0.0,65,34
2026-05-09 04:00:49,2026-05-09,2,乒乓球厅-15号,17:00-18:00,0,1,可预约,,晴,14,2,0.0,66,34
2026-05-09 04:30:43,2026-05-09,2,乒乓球厅-15号,17:00-18:00,0,1,可预约,,晴,14,2,0.0,65,33
2026-05-09 05:00:47,2026-05-09,2,乒乓球厅-15号,17:00-18:00,0,1,可预约,,晴,14,2,0.0,66,33
2026-05-09 05:30:35,2026-05-09,2,乒乓球厅-15号,17:00-18:00,0,1,可预约,,晴,14,2,0.0,61,34
2026-05-09 06:00:57,2026-05-09,2,乒乓球厅-15号,17:00-18:00,0,1,可预约,,晴,13,2,0.0,54,34
2026-05-09 06:30:41,2026-05-09,2,乒乓球厅-15号,17:00-18:00,0,1,可预约,,晴,14,3,0.0,47,34
2026-05-09 07:00:47,2026-05-09,2,乒乓球厅-15号,17:00-18:00,0,1,可预约,,晴,12,4,0.0,38,34
2026-05-09 07:30:33,2026-05-09,2,乒乓球厅-15号,17:00-18:00,0,1,可预约,,晴,12,5,0.0,34,36
2026-05-09 07:54:56,2026-05-09,2,乒乓球厅-15号,17:00-18:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 07:56:30,2026-05-09,2,乒乓球厅-15号,17:00-18:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 07:59:24,2026-05-09,2,乒乓球厅-15号,17:00-18:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 08:00:49,2026-05-09,2,乒乓球厅-15号,17:00-18:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 08:02:23,2026-05-09,2,乒乓球厅-15号,17:00-18:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 08:09:46,2026-05-09,2,乒乓球厅-15号,17:00-18:00,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 08:11:30,2026-05-09,2,乒乓球厅-15号,17:00-18:00,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 08:14:25,2026-05-09,2,乒乓球厅-15号,17:00-18:00,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 08:17:29,2026-05-09,2,乒乓球厅-15号,17:00-18:00,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 00:30:44,2026-05-09,2,乒乓球厅-15号,18:30-19:30,0,1,可预约,,晴,14,1,0.0,62,38
2026-05-09 01:00:46,2026-05-09,2,乒乓球厅-15号,18:30-19:30,0,1,可预约,,晴,14,2,0.0,63,38
2026-05-09 01:30:37,2026-05-09,2,乒乓球厅-15号,18:30-19:30,0,1,可预约,,晴,14,2,0.0,63,35
2026-05-09 02:00:48,2026-05-09,2,乒乓球厅-15号,18:30-19:30,0,1,可预约,,晴,15,2,0.0,65,35
2026-05-09 02:30:33,2026-05-09,2,乒乓球厅-15号,18:30-19:30,0,1,可预约,,晴,14,2,0.0,66,31
2026-05-09 03:00:40,2026-05-09,2,乒乓球厅-15号,18:30-19:30,0,1,可预约,,晴,13,2,0.0,65,31
2026-05-09 03:30:41,2026-05-09,2,乒乓球厅-15号,18:30-19:30,0,1,可预约,,晴,14,2,0.0,65,34
2026-05-09 04:00:49,2026-05-09,2,乒乓球厅-15号,18:30-19:30,0,1,可预约,,晴,14,2,0.0,66,34
2026-05-09 04:30:43,2026-05-09,2,乒乓球厅-15号,18:30-19:30,0,1,可预约,,晴,14,2,0.0,65,33
2026-05-09 05:00:47,2026-05-09,2,乒乓球厅-15号,18:30-19:30,0,1,可预约,,晴,14,2,0.0,66,33
2026-05-09 05:30:35,2026-05-09,2,乒乓球厅-15号,18:30-19:30,0,1,可预约,,晴,14,2,0.0,61,34
2026-05-09 06:00:57,2026-05-09,2,乒乓球厅-15号,18:30-19:30,0,1,可预约,,晴,13,2,0.0,54,34
2026-05-09 06:30:41,2026-05-09,2,乒乓球厅-15号,18:30-19:30,0,1,可预约,,晴,14,3,0.0,47,34
2026-05-09 07:00:47,2026-05-09,2,乒乓球厅-15号,18:30-19:30,0,1,可预约,,晴,12,4,0.0,38,34
2026-05-09 07:30:33,2026-05-09,2,乒乓球厅-15号,18:30-19:30,0,1,可预约,,晴,12,5,0.0,34,36
2026-05-09 07:54:56,2026-05-09,2,乒乓球厅-15号,18:30-19:30,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 07:56:30,2026-05-09,2,乒乓球厅-15号,18:30-19:30,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 07:59:24,2026-05-09,2,乒乓球厅-15号,18:30-19:30,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 08:00:49,2026-05-09,2,乒乓球厅-15号,18:30-19:30,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 08:02:23,2026-05-09,2,乒乓球厅-15号,18:30-19:30,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 08:09:46,2026-05-09,2,乒乓球厅-15号,18:30-19:30,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 08:11:30,2026-05-09,2,乒乓球厅-15号,18:30-19:30,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 08:14:25,2026-05-09,2,乒乓球厅-15号,18:30-19:30,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 08:17:29,2026-05-09,2,乒乓球厅-15号,18:30-19:30,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 00:30:44,2026-05-09,2,乒乓球厅-15号,19:30-20:30,0,1,可预约,,晴,14,1,0.0,62,38
2026-05-09 01:00:46,2026-05-09,2,乒乓球厅-15号,19:30-20:30,0,1,可预约,,晴,14,2,0.0,63,38
2026-05-09 01:30:37,2026-05-09,2,乒乓球厅-15号,19:30-20:30,0,1,可预约,,晴,14,2,0.0,63,35
2026-05-09 02:00:48,2026-05-09,2,乒乓球厅-15号,19:30-20:30,0,1,可预约,,晴,15,2,0.0,65,35
2026-05-09 02:30:33,2026-05-09,2,乒乓球厅-15号,19:30-20:30,0,1,可预约,,晴,14,2,0.0,66,31
2026-05-09 03:00:40,2026-05-09,2,乒乓球厅-15号,19:30-20:30,0,1,可预约,,晴,13,2,0.0,65,31
2026-05-09 03:30:41,2026-05-09,2,乒乓球厅-15号,19:30-20:30,0,1,可预约,,晴,14,2,0.0,65,34
2026-05-09 04:00:49,2026-05-09,2,乒乓球厅-15号,19:30-20:30,0,1,可预约,,晴,14,2,0.0,66,34
2026-05-09 04:30:43,2026-05-09,2,乒乓球厅-15号,19:30-20:30,0,1,可预约,,晴,14,2,0.0,65,33
2026-05-09 05:00:47,2026-05-09,2,乒乓球厅-15号,19:30-20:30,0,1,可预约,,晴,14,2,0.0,66,33
2026-05-09 05:30:35,2026-05-09,2,乒乓球厅-15号,19:30-20:30,0,1,可预约,,晴,14,2,0.0,61,34
2026-05-09 06:00:57,2026-05-09,2,乒乓球厅-15号,19:30-20:30,0,1,可预约,,晴,13,2,0.0,54,34
2026-05-09 06:30:41,2026-05-09,2,乒乓球厅-15号,19:30-20:30,0,1,可预约,,晴,14,3,0.0,47,34
2026-05-09 07:00:47,2026-05-09,2,乒乓球厅-15号,19:30-20:30,0,1,可预约,,晴,12,4,0.0,38,34
2026-05-09 07:30:33,2026-05-09,2,乒乓球厅-15号,19:30-20:30,0,1,可预约,,晴,12,5,0.0,34,36
2026-05-09 07:54:56,2026-05-09,2,乒乓球厅-15号,19:30-20:30,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 07:56:30,2026-05-09,2,乒乓球厅-15号,19:30-20:30,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 07:59:24,2026-05-09,2,乒乓球厅-15号,19:30-20:30,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 08:00:49,2026-05-09,2,乒乓球厅-15号,19:30-20:30,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 08:02:23,2026-05-09,2,乒乓球厅-15号,19:30-20:30,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 08:09:46,2026-05-09,2,乒乓球厅-15号,19:30-20:30,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 08:11:30,2026-05-09,2,乒乓球厅-15号,19:30-20:30,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 08:14:25,2026-05-09,2,乒乓球厅-15号,19:30-20:30,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 08:17:29,2026-05-09,2,乒乓球厅-15号,19:30-20:30,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 00:30:44,2026-05-09,2,乒乓球厅-15号,20:30-21:30,0,1,可预约,,晴,14,1,0.0,62,38
2026-05-09 01:00:46,2026-05-09,2,乒乓球厅-15号,20:30-21:30,0,1,可预约,,晴,14,2,0.0,63,38
2026-05-09 01:30:37,2026-05-09,2,乒乓球厅-15号,20:30-21:30,0,1,可预约,,晴,14,2,0.0,63,35
2026-05-09 02:00:48,2026-05-09,2,乒乓球厅-15号,20:30-21:30,0,1,可预约,,晴,15,2,0.0,65,35
2026-05-09 02:30:33,2026-05-09,2,乒乓球厅-15号,20:30-21:30,0,1,可预约,,晴,14,2,0.0,66,31
2026-05-09 03:00:40,2026-05-09,2,乒乓球厅-15号,20:30-21:30,0,1,可预约,,晴,13,2,0.0,65,31
2026-05-09 03:30:41,2026-05-09,2,乒乓球厅-15号,20:30-21:30,0,1,可预约,,晴,14,2,0.0,65,34
2026-05-09 04:00:49,2026-05-09,2,乒乓球厅-15号,20:30-21:30,0,1,可预约,,晴,14,2,0.0,66,34
2026-05-09 04:30:43,2026-05-09,2,乒乓球厅-15号,20:30-21:30,0,1,可预约,,晴,14,2,0.0,65,33
2026-05-09 05:00:47,2026-05-09,2,乒乓球厅-15号,20:30-21:30,0,1,可预约,,晴,14,2,0.0,66,33
2026-05-09 05:30:35,2026-05-09,2,乒乓球厅-15号,20:30-21:30,0,1,可预约,,晴,14,2,0.0,61,34
2026-05-09 06:00:57,2026-05-09,2,乒乓球厅-15号,20:30-21:30,0,1,可预约,,晴,13,2,0.0,54,34
2026-05-09 06:30:41,2026-05-09,2,乒乓球厅-15号,20:30-21:30,0,1,可预约,,晴,14,3,0.0,47,34
2026-05-09 07:00:47,2026-05-09,2,乒乓球厅-15号,20:30-21:30,0,1,可预约,,晴,12,4,0.0,38,34
2026-05-09 07:30:33,2026-05-09,2,乒乓球厅-15号,20:30-21:30,0,1,可预约,,晴,12,5,0.0,34,36
2026-05-09 07:54:56,2026-05-09,2,乒乓球厅-15号,20:30-21:30,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 07:56:30,2026-05-09,2,乒乓球厅-15号,20:30-21:30,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 07:59:24,2026-05-09,2,乒乓球厅-15号,20:30-21:30,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 08:00:49,2026-05-09,2,乒乓球厅-15号,20:30-21:30,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 08:02:23,2026-05-09,2,乒乓球厅-15号,20:30-21:30,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 08:09:46,2026-05-09,2,乒乓球厅-15号,20:30-21:30,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 08:11:30,2026-05-09,2,乒乓球厅-15号,20:30-21:30,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 08:14:25,2026-05-09,2,乒乓球厅-15号,20:30-21:30,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 08:17:29,2026-05-09,2,乒乓球厅-15号,20:30-21:30,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 00:30:44,2026-05-09,2,乒乓球厅-16号,07:00-08:00,0,1,可预约,,晴,14,1,0.0,62,38
2026-05-09 01:00:46,2026-05-09,2,乒乓球厅-16号,07:00-08:00,0,1,可预约,,晴,14,2,0.0,63,38
2026-05-09 01:30:37,2026-05-09,2,乒乓球厅-16号,07:00-08:00,0,1,可预约,,晴,14,2,0.0,63,35
2026-05-09 02:00:48,2026-05-09,2,乒乓球厅-16号,07:00-08:00,0,1,可预约,,晴,15,2,0.0,65,35
2026-05-09 02:30:33,2026-05-09,2,乒乓球厅-16号,07:00-08:00,0,1,可预约,,晴,14,2,0.0,66,31
2026-05-09 03:00:40,2026-05-09,2,乒乓球厅-16号,07:00-08:00,0,1,可预约,,晴,13,2,0.0,65,31
2026-05-09 03:30:41,2026-05-09,2,乒乓球厅-16号,07:00-08:00,0,1,可预约,,晴,14,2,0.0,65,34
2026-05-09 04:00:49,2026-05-09,2,乒乓球厅-16号,07:00-08:00,0,1,可预约,,晴,14,2,0.0,66,34
2026-05-09 04:30:43,2026-05-09,2,乒乓球厅-16号,07:00-08:00,0,1,可预约,,晴,14,2,0.0,65,33
2026-05-09 05:00:47,2026-05-09,2,乒乓球厅-16号,07:00-08:00,0,1,可预约,,晴,14,2,0.0,66,33
2026-05-09 05:30:35,2026-05-09,2,乒乓球厅-16号,07:00-08:00,0,1,可预约,,晴,14,2,0.0,61,34
2026-05-09 06:00:57,2026-05-09,2,乒乓球厅-16号,07:00-08:00,0,1,可预约,,晴,13,2,0.0,54,34
2026-05-09 06:30:41,2026-05-09,2,乒乓球厅-16号,07:00-08:00,0,1,可预约,,晴,14,3,0.0,47,34
2026-05-09 07:00:47,2026-05-09,2,乒乓球厅-16号,07:00-08:00,0,1,可预约,,晴,12,4,0.0,38,34
2026-05-09 07:30:33,2026-05-09,2,乒乓球厅-16号,07:00-08:00,0,1,可预约,,晴,12,5,0.0,34,36
2026-05-09 07:54:56,2026-05-09,2,乒乓球厅-16号,07:00-08:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 07:56:30,2026-05-09,2,乒乓球厅-16号,07:00-08:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 07:59:24,2026-05-09,2,乒乓球厅-16号,07:00-08:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 08:00:49,2026-05-09,2,乒乓球厅-16号,07:00-08:00,0,1,不开放/已过期,,晴,11,6,0.0,32,36
2026-05-09 08:02:23,2026-05-09,2,乒乓球厅-16号,07:00-08:00,0,1,不开放/已过期,,晴,11,6,0.0,32,36
2026-05-09 08:09:46,2026-05-09,2,乒乓球厅-16号,07:00-08:00,0,1,不开放/已过期,,晴,11,6,0.0,33,36
2026-05-09 08:11:30,2026-05-09,2,乒乓球厅-16号,07:00-08:00,0,1,不开放/已过期,,晴,11,6,0.0,33,36
2026-05-09 08:14:25,2026-05-09,2,乒乓球厅-16号,07:00-08:00,0,1,不开放/已过期,,晴,11,6,0.0,33,36
2026-05-09 08:17:29,2026-05-09,2,乒乓球厅-16号,07:00-08:00,0,1,不开放/已过期,,晴,11,6,0.0,33,36
2026-05-09 00:30:44,2026-05-09,2,乒乓球厅-16号,08:00-09:00,0,1,可预约,,晴,14,1,0.0,62,38
2026-05-09 01:00:46,2026-05-09,2,乒乓球厅-16号,08:00-09:00,0,1,可预约,,晴,14,2,0.0,63,38
2026-05-09 01:30:37,2026-05-09,2,乒乓球厅-16号,08:00-09:00,0,1,可预约,,晴,14,2,0.0,63,35
2026-05-09 02:00:48,2026-05-09,2,乒乓球厅-16号,08:00-09:00,0,1,可预约,,晴,15,2,0.0,65,35
2026-05-09 02:30:33,2026-05-09,2,乒乓球厅-16号,08:00-09:00,0,1,可预约,,晴,14,2,0.0,66,31
2026-05-09 03:00:40,2026-05-09,2,乒乓球厅-16号,08:00-09:00,0,1,可预约,,晴,13,2,0.0,65,31
2026-05-09 03:30:41,2026-05-09,2,乒乓球厅-16号,08:00-09:00,0,1,可预约,,晴,14,2,0.0,65,34
2026-05-09 04:00:49,2026-05-09,2,乒乓球厅-16号,08:00-09:00,0,1,可预约,,晴,14,2,0.0,66,34
2026-05-09 04:30:43,2026-05-09,2,乒乓球厅-16号,08:00-09:00,0,1,可预约,,晴,14,2,0.0,65,33
2026-05-09 05:00:47,2026-05-09,2,乒乓球厅-16号,08:00-09:00,0,1,可预约,,晴,14,2,0.0,66,33
2026-05-09 05:30:35,2026-05-09,2,乒乓球厅-16号,08:00-09:00,0,1,可预约,,晴,14,2,0.0,61,34
2026-05-09 06:00:57,2026-05-09,2,乒乓球厅-16号,08:00-09:00,0,1,可预约,,晴,13,2,0.0,54,34
2026-05-09 06:30:41,2026-05-09,2,乒乓球厅-16号,08:00-09:00,0,1,可预约,,晴,14,3,0.0,47,34
2026-05-09 07:00:47,2026-05-09,2,乒乓球厅-16号,08:00-09:00,0,1,可预约,,晴,12,4,0.0,38,34
2026-05-09 07:30:33,2026-05-09,2,乒乓球厅-16号,08:00-09:00,0,1,可预约,,晴,12,5,0.0,34,36
2026-05-09 07:54:56,2026-05-09,2,乒乓球厅-16号,08:00-09:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 07:56:30,2026-05-09,2,乒乓球厅-16号,08:00-09:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 07:59:24,2026-05-09,2,乒乓球厅-16号,08:00-09:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 08:00:49,2026-05-09,2,乒乓球厅-16号,08:00-09:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 08:02:23,2026-05-09,2,乒乓球厅-16号,08:00-09:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 08:09:46,2026-05-09,2,乒乓球厅-16号,08:00-09:00,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 08:11:30,2026-05-09,2,乒乓球厅-16号,08:00-09:00,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 08:14:25,2026-05-09,2,乒乓球厅-16号,08:00-09:00,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 08:17:29,2026-05-09,2,乒乓球厅-16号,08:00-09:00,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 00:30:44,2026-05-09,2,乒乓球厅-16号,09:00-10:00,0,1,可预约,,晴,14,1,0.0,62,38
2026-05-09 01:00:46,2026-05-09,2,乒乓球厅-16号,09:00-10:00,0,1,可预约,,晴,14,2,0.0,63,38
2026-05-09 01:30:37,2026-05-09,2,乒乓球厅-16号,09:00-10:00,0,1,可预约,,晴,14,2,0.0,63,35
2026-05-09 02:00:48,2026-05-09,2,乒乓球厅-16号,09:00-10:00,0,1,可预约,,晴,15,2,0.0,65,35
2026-05-09 02:30:33,2026-05-09,2,乒乓球厅-16号,09:00-10:00,0,1,可预约,,晴,14,2,0.0,66,31
2026-05-09 03:00:40,2026-05-09,2,乒乓球厅-16号,09:00-10:00,0,1,可预约,,晴,13,2,0.0,65,31
2026-05-09 03:30:41,2026-05-09,2,乒乓球厅-16号,09:00-10:00,0,1,可预约,,晴,14,2,0.0,65,34
2026-05-09 04:00:49,2026-05-09,2,乒乓球厅-16号,09:00-10:00,0,1,可预约,,晴,14,2,0.0,66,34
2026-05-09 04:30:43,2026-05-09,2,乒乓球厅-16号,09:00-10:00,0,1,可预约,,晴,14,2,0.0,65,33
2026-05-09 05:00:47,2026-05-09,2,乒乓球厅-16号,09:00-10:00,0,1,可预约,,晴,14,2,0.0,66,33
2026-05-09 05:30:35,2026-05-09,2,乒乓球厅-16号,09:00-10:00,0,1,可预约,,晴,14,2,0.0,61,34
2026-05-09 06:00:57,2026-05-09,2,乒乓球厅-16号,09:00-10:00,0,1,可预约,,晴,13,2,0.0,54,34
2026-05-09 06:30:41,2026-05-09,2,乒乓球厅-16号,09:00-10:00,0,1,可预约,,晴,14,3,0.0,47,34
2026-05-09 07:00:47,2026-05-09,2,乒乓球厅-16号,09:00-10:00,0,1,可预约,,晴,12,4,0.0,38,34
2026-05-09 07:30:33,2026-05-09,2,乒乓球厅-16号,09:00-10:00,0,1,可预约,,晴,12,5,0.0,34,36
2026-05-09 07:54:56,2026-05-09,2,乒乓球厅-16号,09:00-10:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 07:56:30,2026-05-09,2,乒乓球厅-16号,09:00-10:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 07:59:24,2026-05-09,2,乒乓球厅-16号,09:00-10:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 08:00:49,2026-05-09,2,乒乓球厅-16号,09:00-10:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 08:02:23,2026-05-09,2,乒乓球厅-16号,09:00-10:00,0,1,可预约,,晴,11,6,0.0,32,36
2026-05-09 08:09:46,2026-05-09,2,乒乓球厅-16号,09:00-10:00,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 08:11:30,2026-05-09,2,乒乓球厅-16号,09:00-10:00,0,1,可预约,,晴,11,6,0.0,33,36
2026-05-09 08:14:25,2026-05-09,2,乒乓球厅-16号,09:00-10:00,0,1,可预约,,晴,11,6,0.0,33,36
